,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (BCI = Indice de l'état du pont),,,,,,,,,,,,,,,
18 - 161/,GLENDALE AVENUE UNDERPASS......,1,43.15711,-79.16452,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1962,1992,2009,4,Total=60.9  (1)=11;(2)=20.6;(3)=18.3;(4)=11;,61.4,18.8,Central,LINCOLN,Open to traffic,Provincial,09/25/2013,65.5,65.5,,65.1,,65.8,,67.4,,72,,,,,
18 - 162/,Hwy 405/NIAGARA TWP. QEW. INT.O/P,405,43.151943,-79.1501,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1962,2009,,3,Total=116  (1)=34;(2)=48;(3)=34;,116,11,Central,LINCOLN,Open to traffic,Provincial,10/09/2013,77.1,77.1,,77.6,,73.7,,73.5,74.2,,75.5,,,,
18 - 163/,Hwy 405 - Mewburn Rd. Underpass (formerly GRAVEL RD. BR.),405,43.153268,-79.13407,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1962,2008,2009,4,Total=63.8  (1)=11.5;(2)=20.4;(3)=20.4;(4)=11.5;,64.5,10.5,Central,LINCOLN,Open to traffic,Provincial,09/26/2013,76.6,76.6,,77,,80.2,0,59.6,,59.6,,,,79,
18 - 166/,CNR SUBWAY MERRITON,406,43.142315,-79.221932,Bridge,Frame,"Rigid Frame, Other",Reinforced Cast-In-Place Concrete,1963,,,2,Total=42.6  (1)=21.3;(2)=21.3;,51.5,9.8,Central,LINCOLN,Open to traffic,Provincial,12/09/2013,70.1,70.1,,70.6,,71.6,,71.7,72.7,,79.5,,,97.3,
18 - 168/,GENEVA ST RAMP/OLD WELLAND CAN,406,43.158563,-79.238168,Bridge,Beam/Girder,Plate I Girder,Steel,1979,,1997,5,Total=115  (1)=23;(2)=23;(3)=23;(4)=23;(5)=23;,115,8.5,Central,LINCOLN,Open to traffic,Provincial,10/22/2013,71.5,71.5,,71.8,,71.2,,72.7,77.8,,87.7,,,87.7,
18 - 170/1,GLENDALE AVE O/P N.B.L.,406,43.134536,-79.220781,Bridge,Beam/Girder,Plate I Girder,Steel,1963,2014,2009,3,Total=52;  (1)=12;(2)=28;(3)=12;,53.7,12.5,Central,LINCOLN,Open to traffic,Provincial,10/09/2013,65.7,65.7,,66.3,,63.9,65.2,65.7,71.4,,77.7,,,77.7,
18 - 170/2,GLENDALE AVE O/P S.B.L.,406,43.134424,-79.221079,Bridge,Beam/Girder,Rolled I Beam,Reinforced Cast-In-Place Concrete,1963,2014,,3,Total=52;  (1)=12;(2)=28;(3)=12;,53.7,12.5,Central,LINCOLN,Open to traffic,Provincial,10/09/2013,68.8,68.8,,69.7,,70.3,70.8,71,71.9,,82.2,,,82.5,
18 - 171/,ST. DAVID BR. #1 INT.,406,43.120829,-79.232589,Bridge,Beam/Girder,Rolled I Beam,Reinforced Cast-In-Place Concrete,1969,1997,,4,Total=108  (1)=21;(2)=33;(3)=33;(4)=21;,108.9,25.6,Central,LINCOLN,Open to traffic,Provincial,12/09/2013,72.5,72.5,,72.5,,71.7,,70.3,71,,,,,79.5,
18 - 172/,WESTCHESTER AVE U/P,406,43.157809,-79.235826,Bridge,Beam/Girder,Plate I Girder,Steel,1962,1998,,4,Total=84  (1)=18;(2)=24;(3)=24;(4)=18;,84,19,Central,LINCOLN,Open to traffic,Provincial,10/17/2013,73.4,73.4,,71.3,,71.2,,71.5,71.7,,80.9,,,82.5,
18 - 175/1,CHESTNUT STREET OVERPASS NBL,406,43.138807,-79.220804,Bridge,Beam/Girder,Box Beam,Reinforced Precast Concrete,1964,1986,2012,1,Total=18  (1)=18;,18,12.5,Central,LINCOLN,Open to traffic,Provincial,10/09/2013,70.4,70.4,,68,,70.6,,71.3,85.9,,88.9,,,90.9,
18 - 175/2,CHESTNUT STREET OVERPASS SBL,406,43.138805,-79.221099,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,1964,,2012,1,Total=18  (1)=18;,18,14.5,Central,LINCOLN,Open to traffic,Provincial,10/30/2013,70.8,70.8,,68.9,,71.9,,71.9,83.8,,93.8,,,93.8,
18 - 176/,CO RD NO 22 U/P ON QEW,1,43.186502,-79.394834,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,1966,1980,,4,Total=68  (1)=11;(2)=23;(3)=23;(4)=11;,70.1,18.9,Central,LINCOLN,Open to traffic,Provincial,10/01/2013,73,73,,72.6,,72.1,,73,,74.3,,,,88.4,
18 - 177/1,CO. RD. #20 O/P -EBL.,1,43.180027,-79.361464,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1965,1995,,3,Total=35  (1)=10;(2)=15;(3)=10;,36,19.5,Central,LINCOLN,Open to traffic,Provincial,10/11/2013,73.1,73.1,,69.8,,70.8,,73.7,,74.5,,,,83.1,
18 - 177/2,"COUNTY RD. #20 O/P, W.B.L.",1,43.18037,-79.361467,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1965,1995,,3,Total=35  (1)=10;(2)=15;(3)=10;,36,19.5,Central,LINCOLN,Open to traffic,Provincial,10/11/2013,70.5,70.5,,70.5,,70.7,,74.1,,74.6,,,,80.7,
18 - 181/,ONTARIO ST U/P ON QEW,1,43.179688,-79.267094,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1966,2009,,6,Total=96  (1)=11;(2)=16;(3)=21;(4)=21;(5)=16;(6)=11;,96.4,27.6,Central,LINCOLN,Open to traffic,Provincial,12/09/2013,82.8,82.8,,84.2,,64,,61.8,,63.6,0,,,,
18 - 191/,Oakes RD. U'Pass,1,43.211209,-79.612579,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1969,2013,,4,Total=93.88  (1)=23.47;(2)=23.47;(3)=23.47;(4)=23.47;,94.3,11.3,Central,LINCOLN,Open to traffic,Provincial,07/09/2012,72,,71.9,,71.9,,72.7,73.6,,74,,,73.9,,
18 - 192/, ST.DAVIDS RD. INT. BR.#8,58,43.122223,-79.228826,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1968,1989,,3,Total=54  (1)=13;(2)=28;(3)=13;,55.2,15.8,Central,LINCOLN,Open to traffic,Provincial,09/24/2013,71.8,71.8,,71.4,,72.1,,72.4,74.2,,,,,95.6,
18 - 193/,ST DAVID'S RD #9,58,43.121979,-79.229509,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1968,1999,,3,Total=54;  (1)=14;(2)=26;(3)=14;,55.2,12.8,Central,LINCOLN,Open to traffic,Provincial,09/24/2013,71.3,71.3,,70.7,,71.5,,72.3,74.4,,97.6,,,97.6,
18 - 194/,ST DAVID'S RD INTERCH-BR NO 7,406,43.123727,-79.23024,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1968,1990,,4,Total=115  (1)=25;(2)=37;(3)=28;(4)=25;,115.6,12.8,Central,LINCOLN,Open to traffic,Provincial,12/09/2013,71.1,71.1,,70.9,,72.3,,72.1,73.8,,,,,96.6,
18 - 196/,Casablanca Blvd. U'Pass,1,43.207013,-79.59532,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1969,2013,,4,Total=103.6  (1)=26.5;(2)=25.3;(3)=25.3;(4)=26.5;,104.1,29.6,Central,LINCOLN,Open to traffic,Provincial,06/29/2012,72.7,,72.7,,72.3,,72.8,,74.8,73.8,,,73.9,,
18 - 197/,MOUNTAIN  VIEW  RD.  U/P,1,43.189346,-79.497363,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1971,1987,,4,Total=94  (1)=24;(2)=23;(3)=23;(4)=24;,96,11.3,Central,LINCOLN,Open to traffic,Provincial,12/09/2013,73.3,73.3,,72.7,,73.2,,73.7,68.1,,68.5,,,,0
18 - 198/,ONTARIO ST U/P ON QEW at Beamsville,1,43.189073,-79.476982,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1969,2013,,2,Total=70  (1)=35;(2)=35;,71.5,23.1,Central,LINCOLN,Open to traffic,Provincial,10/01/2013,71.6,71.6,,71.7,,71.5,71.7,71.7,66.5,,66.2,,,,0
18 - 208/1,QEW S-W RAMP U'PASS BR. 13,406,43.177617,-79.28498,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1983,,,2,Total=69.18  (1)=38.7;(2)=30.48;,70.1,13.7,Central,LINCOLN,Open to traffic,Provincial,11/12/2013,71.9,71.9,,72.3,,73.4,,74.6,,74.8,,,,,
18 - 208/2,HWY 406 OVER QEW E-S BR. 14 Ramp from Niagara,406,43.177637,-79.285272,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1983,,,2,Total=65  (1)=38;(2)=27;,66.4,8,Central,LINCOLN,Open to traffic,Provincial,11/12/2013,71.1,71.1,,71.2,,73.2,,74.1,,74.8,,,,,
18 - 209/1,E-S RAMP OVER S SERVICE RD & RICHARDSON CR,406,43.176347,-79.28483,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1983,1985,,4,Total=110  (1)=24;(2)=31;(3)=31;(4)=24;,110.6,8,Central,LINCOLN,Open to traffic,Provincial,11/12/2013,73.3,73.3,,73.4,,74,,74.6,,75,,,,,
18 - 209/2,S-W RAMP OVER SOUTH SERVICE RD,406,43.17614,-79.28485,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1983,,,4,Total=136  (1)=31;(2)=37;(3)=37;(4)=31;,135.1,11.8,Central,LINCOLN,Open to traffic,Provincial,11/12/2013,73.4,73.4,,73.5,,73.9,,74.3,,74.7,,,,,
18 - 210/,CNR/MAPLE AVE O'HEAD,1,43.195423,-79.554413,Bridge,Beam/Girder,Rectangular Beam,Reinforced Cast-In-Place Concrete,1973,2014,,4,Total=54.86  (1)=10.67;(2)=16.76;(3)=16.76;(4)=10.67;,55.4,21.3,Central,LINCOLN,Open to traffic,Provincial,07/05/2012,71.7,,71.7,,71,,73.2,,73.5,73.9,,77.6,,,
18 - 211/1,"BARTLETT AVE. BRIDGE, E.B.L.",1,43.189871,-79.523897,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1972,,,2,Total=42  (1)=21;(2)=21;,43,20.7,Central,LINCOLN,Open to traffic,Provincial,06/28/2012,74.5,,74.5,,73.7,,74.4,,83.4,84.3,,87.9,,,0
18 - 211/2,"BARTLETT AVE. BRIDGE, W.B.L.",1,43.190087,-79.52379,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1972,,,2,Total=42  (1)=21;(2)=21;,43.1,27.2,Central,LINCOLN,Open to traffic,Provincial,06/28/2012,73.9,,73.9,,74.1,,74.3,,74.4,84.5,,85.8,,,
18 - 212/,CNR/BARTLETT AVE SUBWAY,1,43.189224,-79.524202,Bridge,Slab,Solid Slab,Reinforced Cast-In-Place Concrete,1972,,,4,Total=52  (1)=9;(2)=17;(3)=17;(4)=9;,54.4,14.2,Central,LINCOLN,Open to traffic,Provincial,06/27/2012,73,,73,,73,,73.4,,73.5,73.5,,73.6,,,0
18 - 230/,HWY #406 U/P AT GENEVA ST.,406,43.15786,-79.239738,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1979,1983,,3,Total=86  (1)=34;(2)=18;(3)=34;,86.6,26.2,Central,LINCOLN,Open to traffic,Provincial,08/19/2013,74.4,74.4,,74,,74.1,,73.9,74.3,,,,,,
18 - 232/1,"HWY 406 U/P,WESTCHEST CRES. E/B",406,43.155341,-79.243041,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1979,1998,,4,Total=184.2  (1)=48.8;(2)=48.8;(3)=51.2;(4)=35.4;,185.5,11.3,Central,LINCOLN,Open to traffic,Provincial,12/09/2013,73.6,73.6,,73.8,,74.2,,74.3,74.7,,,,,,
18 - 232/2,"HWY 406 U/P,WESTCHEST CRES. W/B",406,43.155462,-79.242978,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1979,1998,,4,Total=178  (1)=50;(2)=52.4;(3)=40.2;(4)=35.4;,179.4,11.3,Central,LINCOLN,Open to traffic,Provincial,12/09/2013,74,74,,74.4,,74.2,,74.4,74.7,,,,,,
18 - 233/1,HWY 406 OVER 12 MILE CREEK NBL,406,43.15583,-79.25395,Bridge,Beam/Girder,Box Beam,Post-Tensioned Precast Concrete,1982,,,3,Total=180  (1)=52;(2)=76;(3)=52;,182.6,13.6,Central,LINCOLN,Open to traffic,Provincial,12/09/2013,74.1,74.1,,74.2,,74.6,,74.5,74.6,,,,,,95.1
18 - 233/2,HWY 406 OVER 12 MILE CREEK SBL,406,43.155687,-79.254063,Bridge,Beam/Girder,Box Beam,Post-Tensioned Precast Concrete,1982,1995,,6,Total=398  (1)=47;(2)=76;(3)=76;(4)=76;(5)=76;(6)=47;,400.8,13.6,Central,LINCOLN,Open to traffic,Provincial,12/09/2013,74.5,74.5,,74.6,,75.3,,74.8,75,,,,,,
18 - 234/,Welland Vale Road Underpass,406,43.157411,-79.25971,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1981,,,2,Total=30  (1)=15;(2)=15;,32.6,43.7,Central,LINCOLN,Open to traffic,Provincial,08/19/2013,74.3,74.3,,74.4,,74,,74.5,,74.8,,,,,
18 - 235/,HWY 406 UNDERPASS AT MARTINDALE ROAD,406,43.157193,-79.265263,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1981,1998,,2,Total=54.8  (1)=27.4;(2)=27.4;,55.9,11.8,Central,LINCOLN,Open to traffic,Provincial,12/09/2013,72.2,72.2,,72.5,,73.3,,74.3,73.9,,97.1,,,97.1,
18 - 236/,FIRST ST U'PASS 406/QEW 1C,406,43.157034,-79.276258,Bridge,Slab,Solid Slab,Post-Tensioned Cast-In-Place Concrete,1981,,,2,Total=54.8  (1)=27.4;(2)=27.4;,57.6,11.2,Central,LINCOLN,Open to traffic,Provincial,09/16/2013,72.7,72.7,,72.9,,72.2,,72.7,,73.1,,,,,
18 - 237/,THIRD AVENUE UNDERPASS,406,43.164359,-79.28155,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1981,,,2,Total=63.7  (1)=32;(2)=31.7;,64.6,13.7,Central,LINCOLN,Open to traffic,Provincial,08/19/2013,72.1,72.1,,72.1,,72.3,,72.5,,71.2,,,,,
18 - 243/,W-S RAMP OVER SOUTH SERVICE RD,406,43.176351,-79.285698,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1983,,,4,Total=124.96  (1)=27.43;(2)=35.05;(3)=35.05;(4)=27.43;,126.1,12.5,Central,LINCOLN,Open to traffic,Provincial,11/13/2013,73.7,73.7,,73.7,,73.4,,74.2,,74.6,,,,,
18 - 244/,S-E RAMP/S.S. ROAD OPASS BR #12,406,43.176353,-79.284171,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1983,,,4,Total=151  (1)=29;(2)=41;(3)=41;(4)=40;,151,8.6,Central,LINCOLN,Open to traffic,Provincial,11/22/2013,74,74,,74.3,,74.3,,74.5,,74.4,,,,,99.5
18 - 245/,S-W RAMP/THIRD ST OPASS BR #15,406,43.179327,-79.287746,Bridge,Beam/Girder,Box Beam,Steel,1982,,,1,Total=35  (1)=35;,36.2,13.7,Central,LINCOLN,Open to traffic,Provincial,10/16/2013,72.3,72.3,,72.4,,73.9,,73.6,,74.8,,,,,
18 - 246/1,Q.E.W./THIRD ST Overpass -EBL,1,43.177709,-79.287688,Bridge,Beam/Girder,Box Beam,Weathering Steel,1982,2007,2003,1,Total=35.9  (1)=35.9;,35.8,18.2,Central,LINCOLN,Open to traffic,Provincial,10/16/2013,75,75,,82.1,,77.7,,,,,,,,,
18 - 246/2,Q.E.W./THIRD ST Overpass WBL,1,43.177861,-79.28768,Bridge,Beam/Girder,Box Beam,Weathering Steel,1982,,,1,Total=35  (1)=35;,35.8,18.2,Central,LINCOLN,Open to traffic,Provincial,10/16/2013,79.2,79.2,,80.9,,81.5,,,,,,,,,
18 - 247/,W-S RAMP -THIRD ST O'PASS-BR.18,406,43.177452,-79.287644,Bridge,Beam/Girder,Box Beam,Weathering Steel,1982,,,1,Total=35  (1)=35;,36.2,12.5,Central,LINCOLN,Open to traffic,Provincial,10/16/2013,72.3,72.3,,72.4,,74,,73.8,,74.9,,,,,
18 - 268/,Hwy 406 Pedestrian Crossing Underpass,406,43.153852,-79.244071,Bridge,Slab,Solid Slab,Reinforced Cast-In-Place Concrete,1979,,,6,Total=116.3  (1)=20.12;(2)=32;(3)=25.6;(4)=7.5;(5)=15.54;(6)=15.54;,116.8,3.8,Central,LINCOLN,Open to traffic,Provincial,10/17/2013,72.4,72.4,,72.6,,72.7,,74.4,75,,,,,,
19 -  64/,MEDWAY CREEK BRIDGE,7,43.168715,-81.34806,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,1968,2011,,1,Total=21  (1)=21;,23.1,11.8,West,MIDDLESEX,Open to traffic,Provincial,10/23/2012,92.9,,92.9,,65.1,,65.8,66.3,70.7,71.6,,91,,61.5,
19 -  69/,AUSABLE RIVER BRIDGE,4,43.198538,-81.428282,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1969,2000,,3,Total=58  (1)=18;(2)=22;(3)=18;,59.1,11,West,MIDDLESEX,Open to traffic,Provincial,06/06/2012,72.5,,72.5,,72.6,,72.8,72.5,74.4,74.1,,95,,68,
19 -  70/,Medway Creek Bridge,23,43.177988,-81.344722,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1995,,,1,Total=11  (1)=11;,12.4,13,West,MIDDLESEX,Open to traffic,Provincial,05/17/2012,93.3,,93.3,,94.3,,94.5,95.6,96.2,92.2,,96.6,,74.4,
19 - 160/,MEDWAY CREEK BRANCH BRIDGE (BIRR),4,43.116773,-81.329234,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1963,1984,2010,1,Total=15  (1)=15;,16.9,14.1,West,MIDDLESEX,Open to traffic,Provincial,05/17/2012,72,,72,,72,,73.2,74,74,74.2,,86.4,,67.7,
19 - 161/,MEDWAY CREEK BRANCH BRIDGE,4,43.107793,-81.324346,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1963,1984,2010,1,Total=15  (1)=15;,17,14.1,West,MIDDLESEX,Open to traffic,Provincial,05/17/2012,72.7,,72.7,,72.4,,72.7,72.8,73.7,74,,91,,66.6,
19 - 162/,MEDWAY CREEK BRANCH BRIDGE (ST. JOHN'S).,4,43.053396,-81.296374,Bridge,Beam/Girder,Rolled I Beam,Steel,1964,2000,,3,Total=49  (1)=15;(2)=19;(3)=15;,49.9,20.7,West,MIDDLESEX,Open to traffic,Provincial,05/18/2012,71.6,,71.6,,73.2,,73.6,73.7,73.7,73.5,,92.4,,63.9,
19 - 303/,DORCHESTER ROAD UNDERPASS,401,42.958426,-81.060815,Bridge,Frame,"Rigid Frame, T Beam",Reinforced Cast-In-Place Concrete,1955,1988,,1,Total=33  (1)=33;,35.2,16.3,West,MIDDLESEX,Open to traffic,Provincial,05/10/2012,64.9,,64.9,,64.2,,65.7,66.7,,68.3,,93.7,,51.8,
19 - 304/,ELGIN ROAD (HWY #73) UNDERPASS,401,42.965512,-81.016808,Bridge,Frame,"Rigid Frame, T Beam",Reinforced Cast-In-Place Concrete,1957,1988,,1,Total=33  (1)=33;,35,17.2,West,MIDDLESEX,Open to traffic,Provincial,05/10/2012,67,,67,,67.5,,67.9,68.1,,71.4,78.8,88.2,,58.1,
19 - 306/,PUTNAM ROAD & CNR OVERPASS,401,42.975982,-80.950405,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1955,1992,,2,Total=34  (1)=17;(2)=17;,37.3,49.9,West,MIDDLESEX,Open to traffic,Provincial,06/07/2012,73.7,,73.7,,73.9,,74.1,74.3,,74.6,,95,,68,
19 - 316/,PIGRAM LINE OVERPASS,401,42.983132,-80.917232,Bridge,Beam/Girder,Rolled I Beam,Steel,1955,1992,,1,Total=12  (1)=12;,12.3,37.2,West,MIDDLESEX,Open to traffic,Provincial,06/07/2012,72.7,,72.7,,73.1,,73.8,73.8,,74.1,,94.5,,67.3,
19 - 365/,SCOTLAND DRIVE UNDERPASS,401,42.883846,-81.250773,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1967,1992,,4,Total=62  (1)=12;(2)=19;(3)=19;(4)=12;,62.1,10.5,West,MIDDLESEX,Open to traffic,Provincial,04/13/2012,71,,71,,71,,71.2,71.1,,72.4,,87.8,,67,
19 - 366/,WESTMINSTER DRIVE UNDERPASS,401,42.898363,-81.238993,Bridge,Frame,"Rigid Frame, Box Girder",Reinforced Cast-In-Place Concrete,1959,1989,,1,Total=29  (1)=29;,30.8,11.3,West,MIDDLESEX,Open to traffic,Provincial,04/13/2012,62.9,,62.9,,63.2,,63.4,64.5,,65.5,,62.9,,62.1,
19 - 368/,DINGMAN DRIVE UNDERPASS,401,42.91254,-81.224211,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1968,1994,2010,4,Total=74.4  (1)=13.7;(2)=23.5;(3)=23.5;(4)=13.7;,75.3,10.4,West,MIDDLESEX,Open to traffic,Provincial,05/03/2012,72.4,,72.4,,73,,74,74.2,,72.9,,94.5,,67.3,
19 - 369/,WELLINGTON ROAD UNDERPASS,401,42.922303,-81.21266,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2007,,,4,Total=86.3  (1)=16.8;(2)=26.9;(3)=26.9;(4)=15.7;,87.4,32.2,West,MIDDLESEX,Open to traffic,Provincial,05/03/2012,99.1,,99.1,,100,,100,100,,67.8,,91.2,,66.3,
19 - 371/,CNR OVERHEAD (London - Port Stanley Railway).,401,42.932987,-81.19429,Bridge,Beam/Girder,Other Beam,Reinforced Precast Concrete,1954,1989,,1,Total=11  (1)=11;,11.7,35.2,West,MIDDLESEX,Open to traffic,Provincial,06/07/2012,69.6,,69.6,,69.7,,71.7,72.2,,73.4,,93.6,,65.8,
19 - 372/,POND MILLS ROAD OVERPASS,401,42.933694,-81.191903,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1955,1986,,1,Total=12  (1)=12;,12.6,34.6,West,MIDDLESEX,Open to traffic,Provincial,06/06/2012,71.1,,71.1,,71.6,,71.9,72.3,,72.8,,92.3,,66.9,
19 - 373/,HIGHBURY AVENUE UNDERPASS,401,42.936492,-81.1793,Bridge,Slab,Rectangular Voided Slab,Reinforced Cast-In-Place Concrete,1961,2008,,4,Total=62  (1)=12;(2)=19;(3)=19;(4)=12;,63.4,19.1,West,MIDDLESEX,Open to traffic,Provincial,05/03/2012,75,,75,,75.3,,75.3,69.2,,73.8,,94.8,,67.7,
19 - 374/,OLD VICTORIA ROAD UNDERPASS,401,42.942121,-81.135311,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1991,,,4,Total=78  (1)=14;(2)=23;(3)=23;(4)=18;,78.6,11,West,MIDDLESEX,Open to traffic,Provincial,05/10/2012,73.8,,73.8,,73.8,,74.1,74.2,,74.3,,97,,71.2,
19 - 375/,WESTCHESTER BOURNE (HWY#74) UNDERPASS,401,42.947959,-81.104074,Bridge,Frame,"Rigid Frame, T Beam",Reinforced Cast-In-Place Concrete,1956,1991,,1,Total=35  (1)=35;,38,17.2,West,MIDDLESEX,Open to traffic,Provincial,05/10/2012,65.2,,65.2,,62.7,,65,66.4,,67.8,,0,,52.6,
19 - 404/,SOUTHMINISTER BOURNE UNDERPASS,401,42.824369,-81.304521,Bridge,Beam/Girder,Plate I Girder,Steel,1962,2010,,4,Total=84  (1)=16;(2)=26;(3)=26;(4)=16;,83.8,10.4,West,MIDDLESEX,Open to traffic,Provincial,06/15/2012,78.8,,78.8,,79,,68.4,68.4,,69.7,,75.6,,53.8,
19 - 405/,HIGHWAY #4 UNDERPASS,401,42.853585,-81.275193,Bridge,Frame,"Rigid Frame, T Beam",Reinforced Cast-In-Place Concrete,1956,1989,,1,Total=36.6  (1)=36.6;,38.6,18,West,MIDDLESEX,Open to traffic,Provincial,04/13/2012,66.5,,66.5,,66.9,,67.1,67.4,,69.5,,67.6,,53.2,
19 - 406/,GLANWORTH DRIVE UNDERPASS,401,42.857742,-81.271836,Bridge,Frame,"Rigid Frame, Box Girder",Reinforced Cast-In-Place Concrete,1958,1992,,1,Total=37  (1)=37;,41.5,11.3,West,MIDDLESEX,Open to traffic,Provincial,04/13/2012,64.9,,64.9,,65.1,,66.6,67.7,,68.8,,72.4,,63.6,
19 - 454/, C.N.R. OVERHEAD (ST.MARY'S),7,43.230217,-81.136303,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1968,2011,,3,Total=36  (1)=11;(2)=14;(3)=11;,37.2,13.6,West,MIDDLESEX,Open to traffic,Provincial,10/23/2012,82.5,,82.5,,67.8,,68.3,68.8,72.1,73.6,,91.9,,63.7,
19 - 515/,VETERANS MEMORIAL PARKWAY UNDERPASS,401,42.943137,-81.125572,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1976,1991,,4,Total=64  (1)=10;(2)=22;(3)=22;(4)=10;,65,18.1,West,MIDDLESEX,Open to traffic,Provincial,06/22/2012,67,,67,,65.8,,67,67,,69.7,,87.1,,62.6,
19 - 519/,KERWOOD ROAD UNDERPASS,402,42.992264,-81.743683,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1978,,2012,2,Total=84  (1)=42;(2)=42;,84,16.7,West,MIDDLESEX,Open to traffic,Provincial,06/21/2013,72.8,72.8,,71.5,,71.5,,71.6,,73.3,,92.5,,67.6,
19 - 520/,SEED ROAD UNDERPASS,402,42.992373,-81.698479,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1978,,2012,2,Total=76  (1)=38;(2)=38;,77.3,8.8,West,MIDDLESEX,Open to traffic,Provincial,06/21/2013,72.5,72.5,,71.8,,72.1,,71.9,,73,,93,,67.9,
19 - 521/,SCHOOL ROAD UNDERPASS,402,42.992387,-81.675901,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1978,,,2,Total=76  (1)=38;(2)=38;,77.3,8.8,West,MIDDLESEX,Open to traffic,Provincial,05/09/2013,70.1,70.1,,70.7,,71,,69.5,,70.4,,80.1,,67.1,
19 - 522/,CENTRE ROAD UNDERPASS,402,42.992393,-81.630703,Bridge,Beam/Girder,Trapezoidal Girders,Steel,1978,2012,2004,2,Total=84  (1)=42;(2)=42;,85.5,17.3,West,MIDDLESEX,Open to traffic,Provincial,05/30/2013,77.4,77.4,,63.8,,64.2,,65.2,,67.5,,89.5,,66.9,
19 - 523/1,HICKORY DRIVE OVERPASS (EBL).,402,42.986001,-81.58101,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1980,,2010,3,Total=41  (1)=10;(2)=21;(3)=10;,41.9,15,West,MIDDLESEX,Open to traffic,Provincial,04/21/2013,72.7,72.7,,73.7,,73,,72,,73,,94.5,,67.6,
